marker_name,is_labeled,is_unlabeled,body_region_group,n_gaps_total,n_single_frame_gaps,longest_gap_frames,longest_gap_seconds,n_gaps_ge_0p025s,n_gaps_ge_0p1s,n_gaps_ge_0p2s,n_gaps_ge_0p5s,n_gaps_ge_1p0s,missing_percent,quality_label
671:BackLeft,True,False,torso_chest_back,0,0,0,0.0,0,0,0,0,0,0.0,clean
671:BackRight,True,False,torso_chest_back,0,0,0,0.0,0,0,0,0,0,0.0,clean
671:BackTop,True,False,torso_chest_back,0,0,0,0.0,0,0,0,0,0,0.0,clean
671:ChestLow,True,False,torso_chest_back,13,4,66,0.55,8,5,1,1,0,0.517196,caution
671:ChestTop,True,False,torso_chest_back,2,0,478,3.983333,2,1,1,1,1,1.587824,caution
671:HeadFront,True,False,head_neck,0,0,0,0.0,0,0,0,0,0,0.0,clean
671:HeadLeft,True,False,head_neck,0,0,0,0.0,0,0,0,0,0,0.0,clean
671:HeadRight,True,False,head_neck,0,0,0,0.0,0,0,0,0,0,0.0,clean
671:HeadTop,True,False,head_neck,0,0,0,0.0,0,0,0,0,0,0.0,clean
671:LAnkleOut,True,False,shank_ankle,0,0,0,0.0,0,0,0,0,0,0.0,clean
671:LElbowOut,True,False,elbow_forearm,0,0,0,0.0,0,0,0,0,0,0.0,clean
671:LFArm,True,False,shoulder_upper_arm,0,0,0,0.0,0,0,0,0,0,0.0,clean
671:LHandIn,True,False,wrist_hand,27,12,19,0.158333,10,1,0,0,0,0.30307,clean
671:LHandOut,True,False,wrist_hand,1,0,15,0.125,1,1,0,0,0,0.049414,clean
671:LHeel,True,False,foot,0,0,0,0.0,0,0,0,0,0,0.0,clean
671:LIndex,True,False,fingers,6,2,13,0.108333,2,1,0,0,0,0.079062,clean
671:LKneeOut,True,False,thigh_knee,0,0,0,0.0,0,0,0,0,0,0.0,clean
671:LPinky,True,False,fingers,2,0,3,0.025,2,0,0,0,0,0.019765,clean
671:LShin,True,False,shank_ankle,0,0,0,0.0,0,0,0,0,0,0.0,clean
671:LShoulderBack,True,False,torso_chest_back,0,0,0,0.0,0,0,0,0,0,0.0,clean
671:LShoulderTop,True,False,shoulder_upper_arm,1,0,10,0.083333,1,0,0,0,0,0.032942,clean
671:LThighFront,True,False,thigh_knee,0,0,0,0.0,0,0,0,0,0,0.0,clean
671:LThighSide,True,False,thigh_knee,0,0,0,0.0,0,0,0,0,0,0.0,clean
671:LThumb,True,False,fingers,29,13,110,0.916667,12,6,3,2,0,0.994861,poor
671:LToeIn,True,False,foot,0,0,0,0.0,0,0,0,0,0,0.0,clean
671:LToeOut,True,False,foot,0,0,0,0.0,0,0,0,0,0,0.0,clean
671:LToeTip,True,False,foot,0,0,0,0.0,0,0,0,0,0,0.0,clean
671:LUArmHigh,True,False,shoulder_upper_arm,0,0,0,0.0,0,0,0,0,0,0.0,clean
671:LWristOut,True,False,wrist_hand,0,0,0,0.0,0,0,0,0,0,0.0,clean
671:RAnkleOut,True,False,shank_ankle,0,0,0,0.0,0,0,0,0,0,0.0,clean
671:RElbowOut,True,False,elbow_forearm,0,0,0,0.0,0,0,0,0,0,0.0,clean
671:RFArm,True,False,shoulder_upper_arm,0,0,0,0.0,0,0,0,0,0,0.0,clean
